fecha,turno,unidades_totales,unidades_defectuosas,tipo_defecto
01/08/2025,Mañana,9500,150,"Peso incorrecto"
02/08/2025,Tarde,8700,200,"Embalaje defectuoso"
03/08/2025,Noche,10000,100,"Color irregular"
04/08/2025,Mañana,8800,180,"Sabor inconsistente"
05/08/2025,Tarde,9400,120,"Tamaño irregular"
06/08/2025,Noche,10200,85,"Textura inadecuada"
07/08/2025,Mañana,8900,170,"Envase dañado"
08/08/2025,Tarde,8600,210,"Contaminación"
09/08/2025,Noche,10100,95,"Humedad excesiva"
10/08/2025,Mañana,9000,160,"Forma incorrecta"
11/08/2025,Tarde,9300,130,"Etiquetado erróneo"
12/08/2025,Noche,10300,80,"Olor anormal"
13/08/2025,Mañana,8750,190,"Cocción insuficiente"
14/08/2025,Tarde,9200,140,"Mezcla inadecuada"
15/08/2025,Noche,10400,75,"Salinidad variable"
16/08/2025,Mañana,8850,185,"Presencia de impurezas"
17/08/2025,Tarde,9100,150,"Temperatura incorrecta"
18/08/2025,Noche,10250,90,"Secado excesivo"
19/08/2025,Mañana,8950,175,"Fermentación irregular"
20/08/2025,Tarde,9350,125,"Espesor variable"
21/08/2025,Noche,10500,65,"Sin defectos detectados"
22/08/2025,Mañana,9050,165,"Acidez elevada"
23/08/2025,Tarde,8850,195,"Consistencia irregular"
